epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
62,3224.98,1.40565,0.17568,0.2973,4.84604,5.0986e-05,5.0986e-05,5.0986e-05
38,2036.69,1.57869,0.2027,0.2973,4.24698,0.000112762,0.000112762,0.000112762
63,3266.79,1.33659,0.17568,0.2973,4.81278,4.8412e-05,4.8412e-05,4.8412e-05
39,2077.58,1.60789,0.2027,0.2973,4.52328,0.000110188,0.000110188,0.000110188
64,3308.37,1.29787,0.18919,0.2973,4.69038,4.5838e-05,4.5838e-05,4.5838e-05
40,2119.11,1.66737,0.2027,0.2973,4.09003,0.000107614,0.000107614,0.000107614
65,3350.83,1.32396,0.18919,0.2973,4.99292,4.3264e-05,4.3264e-05,4.3264e-05
41,2160.22,1.58034,0.17568,0.2973,4.18727,0.00010504,0.00010504,0.00010504
66,3392.02,1.3631,0.18919,0.31081,4.95159,4.069e-05,4.069e-05,4.069e-05
42,2201.3,1.57024,0.18919,0.2973,4.54449,0.000102466,0.000102466,0.000102466
67,3433.83,1.36048,0.2027,0.31081,4.82444,3.8116e-05,3.8116e-05,3.8116e-05
43,2242.52,1.59337,0.18919,0.2973,4.4489,9.9892e-05,9.9892e-05,9.9892e-05
68,3475.78,1.30293,0.2027,0.2973,4.75929,3.5542e-05,3.5542e-05,3.5542e-05
44,2284.18,1.60414,0.18919,0.2973,4.27368,9.7318e-05,9.7318e-05,9.7318e-05
69,3517.88,1.28024,0.21622,0.2973,5.11114,3.2968e-05,3.2968e-05,3.2968e-05
45,2326.71,1.45416,0.17568,0.2973,4.79297,9.4744e-05,9.4744e-05,9.4744e-05
70,3562.39,1.42391,0.2027,0.31081,4.77125,3.0394e-05,3.0394e-05,3.0394e-05
46,2372.89,1.50977,0.17568,0.31081,4.65507,9.217e-05,9.217e-05,9.217e-05
71,3609.43,1.32441,0.18919,0.31081,4.67164,2.782e-05,2.782e-05,2.782e-05
47,2415.89,1.48419,0.18919,0.31081,4.68631,8.9596e-05,8.9596e-05,8.9596e-05
72,3653.16,1.30021,0.18919,0.31081,4.82527,2.5246e-05,2.5246e-05,2.5246e-05
48,2466.94,1.49114,0.18919,0.31081,4.90427,8.7022e-05,8.7022e-05,8.7022e-05
73,3705.67,1.27069,0.18919,0.28378,4.80308,2.2672e-05,2.2672e-05,2.2672e-05
49,2512,1.4785,0.17568,0.2973,4.50514,8.4448e-05,8.4448e-05,8.4448e-05
74,3750.81,1.32469,0.2027,0.28378,4.75482,2.0098e-05,2.0098e-05,2.0098e-05
50,2553.35,1.46522,0.18919,0.31081,4.78784,8.1874e-05,8.1874e-05,8.1874e-05
75,3793.37,1.25674,0.18919,0.28378,4.53542,1.7524e-05,1.7524e-05,1.7524e-05
51,2594.32,1.41665,0.18919,0.2973,4.40208,7.93e-05,7.93e-05,7.93e-05
76,3834.9,1.33876,0.2027,0.28378,4.56714,1.495e-05,1.495e-05,1.495e-05
52,2636.08,1.3886,0.17568,0.31081,4.79264,7.6726e-05,7.6726e-05,7.6726e-05
77,3877.04,1.34607,0.18919,0.28378,5.00283,1.2376e-05,1.2376e-05,1.2376e-05
53,2677.15,1.47464,0.17568,0.31081,4.7341,7.4152e-05,7.4152e-05,7.4152e-05
78,3918.84,1.30234,0.2027,0.28378,5.23117,9.802e-06,9.802e-06,9.802e-06
54,2718.26,1.40369,0.17568,0.31081,4.54713,7.1578e-05,7.1578e-05,7.1578e-05
79,3960.96,1.34936,0.2027,0.2973,5.05178,7.228e-06,7.228e-06,7.228e-06
55,2759.61,1.41092,0.18919,0.31081,4.69381,6.9004e-05,6.9004e-05,6.9004e-05
80,4003.17,1.43539,0.18919,0.2973,4.85312,4.654e-06,4.654e-06,4.654e-06
56,2799.68,1.38686,0.18919,0.31081,4.8502,6.643e-05,6.643e-05,6.643e-05
57,2828.93,1.40886,0.18919,0.31081,4.6077,6.3856e-05,6.3856e-05,6.3856e-05
